N     X           Y            Z
1   0.000000    0.000000    0.000000
2   1.637095    0.000000    0.000000
3   0.851781    -1.395872    0.000000
4   0.851778    1.009719    -0.963817
5   1.588159    0.595407    1.486041
6   -0.419013    -1.249360    -0.964021
7   0.317446    -1.663701    1.486094
8   -0.419017    0.238082    -1.559983
9   0.317433    2.229562    -0.073791
10   0.772770    -0.432433    2.404959
11   0.772763    1.973387    1.441035
12   -1.742045    -1.427241    -0.073903
13   -1.742053    0.981353    -1.038938
14   -1.286314    -1.683640    1.442262
15   -0.549013    0.310136    2.930167
16   -0.549018    1.798890    2.333678
17   -1.286328    2.213708    -0.119263
18   1.087260    2.123580    0.524397
19   1.087270    -1.173997    1.845614
20   0.077831    -0.606073    -1.512677
21   0.560614    0.251893    -1.512408
22   1.117344    -1.539716    0.932090
23   0.560617    -1.226494    -0.920077
24   1.569896    -0.315946    1.845358
25   1.569891    1.502735    1.116680
26   1.117335    1.757353    -0.388920
27   1.898119    0.753940    0.569274
28   1.898122    -0.152279    0.932363
29   1.341215    0.161045    -0.920396
30   1.618623    0.911190    -0.360577
31   1.618627    -0.908076    0.368333
32   1.341218    -0.752003    -0.554574
33   0.063438    1.091978    -1.540618
34   0.342798    -2.010818    0.568957
35   0.063446    -1.853652    -0.360415
36   1.244489    1.340071    2.022980
37   1.244491    0.427501    2.388613
38   0.342784    1.847383    -0.976880
39   -0.897939    -0.617736    -1.541774
40   0.283650    -1.282512    2.389240
41   0.283638    2.577434    0.842701
42   -0.438627    -0.309684    -0.772926
43   0.283707    -0.716079    1.630198
44   0.283699    1.643601    0.684762
45   0.038205    0.536989    -0.772967
46   0.313822    -1.077214    0.728592
47   0.760480    1.030984    1.269230
48   0.038208    -0.922150    -0.188346
49   0.760483    0.130624    1.629971
50   0.313814    1.282286    -0.216770
51   1.085264    0.291955    0.728670
52   0.809423    0.447147    -0.189016
53   0.809425    -0.453953    0.172020
54   -0.920271    -1.865224    -0.389494
55   -0.467488    -2.119966    1.116865
56   -0.467503    2.304648    -0.655915
57   -0.920280    1.080263    -1.569643
58   0.434163    0.318238    2.936435
59   0.434159    1.797363    2.343803
60   -1.261842    -1.094536    0.686275
61   -1.261850    1.265585    -0.259339
62   -0.539380    0.859115    2.144237
63   -1.398858    0.228556    -1.570642
64   -1.398854    -1.249836    -0.978305
65   -0.496530    -1.757494    2.023624
66   -0.043976    -0.533716    2.936899
67   -0.043985    2.413941    1.755881
68   -0.496545    2.668556    0.250269
69   -2.563094    -0.047738    -0.119125
70   -1.825140    -0.462918    2.335962
71   -1.825149    1.947782    1.370083
72   -1.250382    -2.029195    0.524770
73   -1.250396    1.830153    -1.021529
74   -0.068987    1.165480    2.908876
75   -0.933998    -0.933132    -0.216260
